age,education,balance,duration,campaign,pdays,previous,y,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_married,marital_single,poutcome_other,poutcome_success,poutcome_unknown,default_yes,housing_yes,loan_yes
30.0,1,1787.0,79.0,1.0,999.0,0.0,0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False
33.0,2,4789.0,220.0,1.0,339.0,4.0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True
35.0,3,1350.0,185.0,1.0,330.0,1.0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
59.0,2,0.0,226.0,1.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
35.0,3,747.0,141.0,2.0,176.0,3.0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
36.0,3,307.0,341.0,1.0,330.0,2.0,0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
39.0,2,147.0,151.0,2.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
41.0,3,221.0,57.0,2.0,999.0,0.0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
43.0,1,-88.0,313.0,1.0,147.0,2.0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True
43.0,2,264.0,113.0,2.0,999.0,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
36.0,3,1109.0,328.0,2.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
20.0,2,502.0,261.0,1.0,999.0,0.0,1,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
31.0,2,360.0,89.0,1.0,241.0,1.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
40.0,3,194.0,189.0,2.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
56.0,2,4073.0,239.0,5.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
37.0,3,2317.0,114.0,1.0,152.0,2.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
25.0,1,-221.0,250.0,1.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
31.0,2,132.0,148.0,1.0,152.0,1.0,0,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
38.0,0,0.0,96.0,2.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
42.0,3,16.0,140.0,3.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
44.0,2,93.0,125.0,2.0,999.0,0.0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
26.0,3,543.0,169.0,3.0,999.0,0.0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
41.0,3,5883.0,182.0,2.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
55.0,1,627.0,247.0,1.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
67.0,0,696.0,119.0,1.0,105.0,2.0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
56.0,2,784.0,149.0,2.0,999.0,0.0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
53.0,2,105.0,74.0,2.0,999.0,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
68.0,2,4189.0,897.0,2.0,999.0,0.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
31.0,2,171.0,81.0,3.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
59.0,2,42.0,40.0,1.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
32.0,3,2536.0,958.0,6.0,999.0,0.0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
49.0,3,1235.0,354.0,3.0,999.0,0.0,1,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
42.0,2,1811.0,150.0,1.0,999.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
78.0,1,229.0,97.0,1.0,999.0,0.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
32.0,2,2089.0,132.0,1.0,999.0,0.0,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
33.0,2,3935.0,765.0,1.0,342.0,2.0,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
23.0,3,363.0,16.0,18.0,999.0,0.0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
38.0,3,10446.680978170363,609.0,2.0,101.0,3.0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
36.0,3,553.0,106.0,2.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
52.0,2,1117.0,365.0,1.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
32.0,3,396.0,205.0,3.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
32.0,3,2204.0,11.0,4.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
34.0,3,872.0,105.0,2.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
55.0,1,145.0,59.0,3.0,5.0,2.0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
26.0,1,0.0,425.0,1.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
32.0,1,-849.0,204.0,1.0,999.0,0.0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True
61.0,0,4629.0,181.0,1.0,92.0,1.0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
45.0,1,844.0,1018.0,3.0,999.0,0.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
37.0,2,228.0,1740.0,2.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
38.0,2,50.0,98.0,2.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
34.0,3,1539.0,441.0,1.0,56.0,1.0,1,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
53.0,2,2231.0,272.0,3.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
48.0,2,3064.0,159.0,2.0,999.0,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
57.0,2,82.0,140.0,1.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
33.0,3,2155.0,295.0,1.0,999.0,0.0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
36.0,2,101.0,314.0,1.0,999.0,0.0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True
54.0,2,784.0,579.0,1.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True
41.0,1,-516.0,554.0,3.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
63.0,2,415.0,323.0,1.0,999.0,0.0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
48.0,3,5887.0,227.0,2.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
48.0,2,1355.0,134.0,2.0,999.0,0.0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
56.0,2,10446.680978170363,223.0,1.0,999.0,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
51.0,2,203.0,134.0,1.0,170.0,5.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
31.0,2,338.0,155.0,1.0,999.0,0.0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
29.0,2,444.0,130.0,4.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
41.0,2,0.0,630.0,3.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
32.0,3,360.0,164.0,2.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
37.0,3,0.0,268.0,2.0,182.0,3.0,1,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
42.0,3,2.0,380.0,1.0,999.0,0.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
31.0,3,6248.0,154.0,2.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
41.0,3,412.0,154.0,5.0,999.0,0.0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
56.0,2,344.0,221.0,1.0,999.0,0.0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
54.0,3,3222.0,67.0,2.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
41.0,2,174.0,367.0,2.0,297.0,1.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
40.0,2,591.0,87.0,6.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
50.0,1,388.0,701.0,1.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
40.0,2,219.0,204.0,2.0,196.0,1.0,0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
27.0,2,451.0,652.0,1.0,999.0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
60.0,1,5.0,63.0,2.0,999.0,0.0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
28.0,2,177.0,150.0,1.0,999.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True
52.0,2,657.0,398.0,2.0,460.0,2.0,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
37.0,3,1315.0,224.0,1.0,999.0,0.0,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
51.0,1,1466.0,406.0,2.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
41.0,2,879.0,60.0,4.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
35.0,1,293.0,521.0,2.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
38.0,2,424.0,279.0,1.0,999.0,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
34.0,2,1831.0,203.0,2.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
39.0,1,111.0,201.0,2.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
34.0,1,455.0,372.0,3.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
27.0,2,-195.0,391.0,1.0,999.0,0.0,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
32.0,3,3616.0,165.0,2.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
57.0,2,10446.680978170363,231.0,5.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
41.0,3,5426.0,149.0,2.0,999.0,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
30.0,3,261.0,233.0,1.0,137.0,20.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
36.0,2,2843.0,473.0,1.0,182.0,1.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
31.0,1,406.0,736.0,1.0,999.0,0.0,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
36.0,2,0.0,337.0,1.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
38.0,3,493.0,553.0,1.0,367.0,7.0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
49.0,2,5996.0,345.0,2.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
57.0,1,3777.0,65.0,2.0,999.0,0.0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
32.0,3,574.0,259.0,2.0,145.0,3.0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
37.0,2,427.0,371.0,3.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True
33.0,3,483.0,280.0,2.0,999.0,0.0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
56.0,1,3391.0,243.0,1.0,999.0,0.0,1,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False
27.0,1,0.0,435.0,3.0,999.0,0.0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
21.0,2,2488.0,258.0,6.0,169.0,3.0,1,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
58.0,3,1517.0,7.0,5.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
33.0,2,22.0,76.0,2.0,207.0,1.0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
25.0,2,331.0,170.0,4.0,999.0,0.0,1,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
25.0,2,505.0,386.0,2.0,999.0,0.0,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
30.0,2,1808.0,83.0,2.0,999.0,0.0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
22.0,2,4111.0,65.0,1.0,999.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
39.0,1,52.0,69.0,1.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
46.0,3,25.0,564.0,2.0,999.0,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
31.0,2,1890.0,588.0,1.0,999.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
45.0,1,419.0,113.0,4.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
32.0,2,2693.0,16.0,1.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
36.0,2,-231.0,779.0,2.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
51.0,3,-55.0,281.0,2.0,266.0,6.0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False
34.0,3,462.0,1877.0,3.0,999.0,0.0,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
24.0,2,119.0,51.0,1.0,999.0,0.0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False
45.0,2,586.0,32.0,3.0,999.0,0.0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
32.0,2,228.0,176.0,1.0,288.0,3.0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
77.0,3,4659.0,161.0,1.0,999.0,0.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
41.0,1,168.0,187.0,3.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
37.0,1,0.0,24.0,1.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
43.0,0,-715.0,67.0,3.0,999.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False
