age,job,education,default,balance,housing,loan,duration,campaign,pdays,previous,y
30.0,unemployed,primary,no,1787.0,no,no,79.0,1.0,999.0,0.0,0
33.0,services,secondary,no,4789.0,yes,yes,220.0,1.0,339.0,4.0,0
35.0,management,tertiary,no,1350.0,yes,no,185.0,1.0,330.0,1.0,0
30.0,management,tertiary,no,,yes,yes,199.0,4.0,999.0,0.0,0
59.0,blue-collar,secondary,no,0.0,yes,no,226.0,1.0,999.0,0.0,0
35.0,management,tertiary,no,747.0,no,no,141.0,2.0,176.0,3.0,0
36.0,self-employed,tertiary,no,307.0,yes,no,341.0,1.0,330.0,2.0,0
39.0,technician,secondary,no,147.0,yes,no,151.0,2.0,999.0,0.0,0
41.0,entrepreneur,tertiary,no,221.0,yes,no,57.0,2.0,999.0,0.0,0
43.0,services,primary,no,-88.0,yes,yes,313.0,1.0,147.0,2.0,0
39.0,services,secondary,no,9374.0,yes,no,273.0,1.0,,0.0,0
43.0,admin.,secondary,no,264.0,yes,no,113.0,2.0,999.0,0.0,0
36.0,technician,tertiary,no,1109.0,no,no,328.0,2.0,999.0,0.0,0
20.0,student,secondary,no,502.0,no,no,261.0,1.0,999.0,0.0,1
31.0,blue-collar,secondary,no,360.0,yes,yes,89.0,1.0,241.0,1.0,0
40.0,management,tertiary,no,194.0,no,yes,189.0,2.0,999.0,0.0,0
56.0,technician,secondary,no,4073.0,no,no,239.0,5.0,999.0,0.0,0
37.0,admin.,tertiary,no,2317.0,yes,no,114.0,1.0,152.0,2.0,0
25.0,blue-collar,primary,no,-221.0,yes,no,250.0,1.0,999.0,0.0,0
31.0,services,secondary,no,132.0,no,no,148.0,1.0,152.0,1.0,0
38.0,management,unknown,no,0.0,yes,no,96.0,2.0,999.0,0.0,0
42.0,management,tertiary,no,16.0,no,no,140.0,3.0,999.0,0.0,0
44.0,services,secondary,no,106.0,no,no,109.0,2.0,,0.0,0
44.0,entrepreneur,secondary,no,93.0,no,no,125.0,2.0,999.0,0.0,0
26.0,housemaid,tertiary,no,543.0,no,no,169.0,3.0,999.0,0.0,0
41.0,management,tertiary,no,5883.0,no,no,182.0,2.0,999.0,0.0,0
55.0,blue-collar,primary,no,627.0,yes,no,247.0,1.0,999.0,0.0,0
67.0,retired,unknown,no,696.0,no,no,119.0,1.0,105.0,2.0,0
56.0,self-employed,secondary,no,784.0,no,yes,149.0,2.0,999.0,0.0,0
53.0,admin.,secondary,no,105.0,no,yes,74.0,2.0,999.0,0.0,0
68.0,retired,secondary,no,4189.0,no,no,897.0,2.0,999.0,0.0,1
31.0,technician,secondary,no,171.0,no,no,81.0,3.0,999.0,0.0,0
59.0,management,secondary,no,42.0,no,no,40.0,1.0,999.0,0.0,0
32.0,management,tertiary,no,2536.0,yes,no,958.0,6.0,999.0,0.0,1
49.0,technician,tertiary,no,1235.0,no,no,354.0,3.0,999.0,0.0,1
42.0,admin.,secondary,no,1811.0,yes,no,150.0,1.0,999.0,0.0,0
78.0,retired,primary,no,229.0,no,no,97.0,1.0,999.0,0.0,1
32.0,blue-collar,secondary,no,2089.0,yes,no,132.0,1.0,999.0,0.0,1
33.0,management,secondary,no,3935.0,yes,no,765.0,1.0,342.0,2.0,1
23.0,services,tertiary,no,363.0,yes,no,16.0,18.0,999.0,0.0,0
38.0,management,tertiary,no,11971.0,yes,no,609.0,2.0,101.0,3.0,0
36.0,management,tertiary,no,553.0,no,no,106.0,2.0,999.0,0.0,0
52.0,blue-collar,secondary,no,1117.0,yes,no,365.0,1.0,999.0,0.0,0
32.0,technician,tertiary,no,396.0,yes,no,205.0,3.0,999.0,0.0,0
32.0,technician,tertiary,no,2204.0,yes,no,11.0,4.0,999.0,0.0,0
34.0,management,tertiary,no,872.0,yes,no,105.0,2.0,999.0,0.0,0
55.0,blue-collar,primary,no,145.0,no,no,59.0,3.0,5.0,2.0,0
26.0,blue-collar,primary,no,0.0,yes,no,425.0,1.0,999.0,0.0,0
32.0,entrepreneur,primary,yes,-849.0,yes,yes,204.0,1.0,999.0,0.0,0
61.0,admin.,unknown,no,4629.0,yes,no,181.0,1.0,92.0,1.0,1
45.0,blue-collar,primary,no,844.0,no,no,1018.0,3.0,999.0,0.0,1
37.0,technician,secondary,no,228.0,yes,no,1740.0,2.0,999.0,0.0,0
38.0,technician,secondary,no,50.0,no,no,98.0,2.0,999.0,0.0,0
34.0,technician,tertiary,no,1539.0,yes,no,441.0,1.0,56.0,1.0,1
53.0,blue-collar,secondary,no,2231.0,yes,no,272.0,3.0,999.0,0.0,0
48.0,admin.,secondary,no,3064.0,yes,no,159.0,2.0,999.0,0.0,0
57.0,management,secondary,no,82.0,no,yes,140.0,1.0,999.0,0.0,0
33.0,self-employed,tertiary,no,2155.0,no,no,295.0,1.0,999.0,0.0,0
36.0,retired,secondary,no,101.0,yes,yes,314.0,1.0,999.0,0.0,0
54.0,technician,secondary,no,784.0,yes,yes,579.0,1.0,999.0,0.0,0
41.0,blue-collar,primary,no,-516.0,no,yes,554.0,3.0,999.0,0.0,0
63.0,retired,secondary,no,415.0,yes,no,323.0,1.0,999.0,0.0,0
48.0,management,tertiary,no,5887.0,no,no,227.0,2.0,999.0,0.0,0
48.0,services,secondary,no,1355.0,no,no,134.0,2.0,999.0,0.0,0
56.0,admin.,secondary,no,16873.0,no,no,223.0,1.0,999.0,0.0,0
51.0,blue-collar,secondary,no,203.0,yes,no,134.0,1.0,170.0,5.0,0
31.0,services,secondary,no,338.0,yes,no,155.0,1.0,999.0,0.0,0
29.0,technician,secondary,no,444.0,yes,no,130.0,4.0,999.0,0.0,0
41.0,management,secondary,no,0.0,no,yes,630.0,3.0,999.0,0.0,0
32.0,technician,tertiary,no,360.0,no,no,164.0,2.0,999.0,0.0,0
37.0,management,tertiary,no,0.0,no,no,268.0,2.0,182.0,3.0,1
42.0,entrepreneur,tertiary,yes,2.0,yes,no,380.0,1.0,999.0,0.0,0
31.0,management,tertiary,no,6248.0,yes,no,154.0,2.0,999.0,0.0,0
41.0,services,tertiary,no,412.0,yes,no,154.0,5.0,999.0,0.0,0
56.0,retired,secondary,no,344.0,yes,no,221.0,1.0,999.0,0.0,0
54.0,management,tertiary,no,3222.0,no,no,67.0,2.0,999.0,0.0,0
41.0,blue-collar,secondary,no,174.0,yes,no,367.0,2.0,297.0,1.0,0
40.0,technician,secondary,no,591.0,no,yes,87.0,6.0,999.0,0.0,0
50.0,blue-collar,primary,no,388.0,no,no,701.0,1.0,999.0,0.0,0
40.0,unemployed,secondary,no,219.0,yes,no,204.0,2.0,196.0,1.0,0
27.0,admin.,secondary,no,451.0,yes,no,652.0,1.0,999.0,0.0,1
60.0,retired,primary,no,5.0,no,no,63.0,2.0,999.0,0.0,0
28.0,admin.,secondary,no,177.0,yes,yes,150.0,1.0,999.0,0.0,0
52.0,services,secondary,no,657.0,no,no,398.0,2.0,460.0,2.0,1
37.0,management,tertiary,no,1315.0,no,no,224.0,1.0,999.0,0.0,1
51.0,blue-collar,primary,no,1466.0,yes,no,406.0,2.0,999.0,0.0,0
41.0,technician,secondary,no,879.0,no,yes,60.0,4.0,999.0,0.0,0
35.0,blue-collar,primary,no,293.0,yes,no,521.0,2.0,999.0,0.0,0
38.0,admin.,secondary,no,424.0,yes,no,279.0,1.0,999.0,0.0,0
34.0,blue-collar,secondary,no,1831.0,yes,no,203.0,2.0,999.0,0.0,0
39.0,blue-collar,primary,no,111.0,no,no,201.0,2.0,999.0,0.0,0
34.0,blue-collar,primary,no,455.0,yes,no,372.0,3.0,999.0,0.0,0
27.0,services,secondary,no,-195.0,yes,no,391.0,1.0,999.0,0.0,1
